job_id,job_title,company,category,location,employment_type,experience_level,salary_min,salary_max,skills,description,employer_name,company_email,company_phone,company_website,application_url
37,Barista,Metro Business Group,Hospitality,"Butuan City, Philippines",Part-time,Mid Level,47000,57000,"Coffee Preparation, Customer Service, Cash Handling",Provide friendly customer service and help maintain efficient daily hospitality operations.,Metro Business Group,hr@metrobusinessgroup.example,+63 900 136 1036,https://www.metrobusinessgroup.example,https://www.metrobusinessgroup.example/apply/37
38,Frontend Developer,BlueSky Holdings,Information Technology,Remote,Full-time,Experienced,31000,36000,"React, JavaScript, CSS","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 137 1037,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/38
39,Real Estate Agent,Community First,Sales,"Davao City, Philippines",Contract,No Experience,19000,27000,"Real Estate, Negotiation, Communication","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",Community First,hr@communityfirst.example,+63 900 138 1038,https://www.communityfirst.example,https://www.communityfirst.example/apply/39
40,Agricultural Technician,Pacific Horizon Corp.,Agriculture,"Butuan City, Philippines",Part-time,Junior,25000,35000,"Agriculture, Data Collection, Equipment","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",Pacific Horizon Corp.,hr@pacifichorizoncorp.example,+63 900 139 1039,https://www.pacifichorizoncorp.example,https://www.pacifichorizoncorp.example/apply/40
41,Editor,NorthPoint Company,Writing & Media,"General Santos, Philippines",Contract,No Experience,18000,33000,"Editing, Proofreading, Writing","Research, write, edit, and prepare clear content for audiences across different media platforms.",NorthPoint Company,hr@northpointcompany.example,+63 900 140 1040,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/41
42,Housekeeper,Central Retail Group,Hospitality,"Butuan City, Philippines",Full-time,No Experience,33000,41000,"Cleaning, Organization, Customer Service",Provide friendly customer service and help maintain efficient daily hospitality operations.,Central Retail Group,hr@centralretailgroup.example,+63 900 141 1041,https://www.centralretailgroup.example,https://www.centralretailgroup.example/apply/42
43,Carpenter,Golden Bridge Corp.,Construction,"Butuan City, Philippines",Part-time,Mid Level,48000,63000,"Carpentry, Measurement, Construction",Assist with construction projects while following workplace safety standards and project instructions.,Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 142 1042,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/43
44,Carpenter,NorthPoint Company,Construction,"Manila, Philippines",Full-time,No Experience,21000,26000,"Carpentry, Measurement, Construction",Assist with construction projects while following workplace safety standards and project instructions.,NorthPoint Company,hr@northpointcompany.example,+63 900 143 1043,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/44
45,Dental Assistant,Central Retail Group,Healthcare,"Surigao City, Philippines",Part-time,Mid Level,20000,25000,"Dental Care, Patient Care, Sterilization","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",Central Retail Group,hr@centralretailgroup.example,+63 900 144 1044,https://www.centralretailgroup.example,https://www.centralretailgroup.example/apply/45
46,Network Engineer,Pacific Horizon Corp.,Information Technology,"Surigao City, Philippines",Full-time,Junior,25000,33000,"Cisco, Networking, Linux","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Pacific Horizon Corp.,hr@pacifichorizoncorp.example,+63 900 145 1045,https://www.pacifichorizoncorp.example,https://www.pacifichorizoncorp.example/apply/46
47,Photographer,Golden Bridge Corp.,Design & Creative,"Cebu City, Philippines",Contract,Experienced,38000,46000,"Photography, Lightroom, Composition",Create visual materials and creative assets based on project requirements and client needs.,Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 146 1046,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/47
48,Electrician,Community First,Skilled Trades,"Cagayan de Oro, Philippines",Part-time,Entry Level,39000,44000,"Electrical Wiring, Safety, Troubleshooting",Perform skilled maintenance and installation tasks while following technical specifications and safety procedures.,Community First,hr@communityfirst.example,+63 900 147 1047,https://www.communityfirst.example,https://www.communityfirst.example/apply/48
49,Sales Representative,Sunrise Enterprises,Sales,"Surigao City, Philippines",Freelance,Entry Level,29000,37000,"Sales, Communication, Customer Service","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 148 1048,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/49
50,Tutor,FutureTech Labs,Education,"Cebu City, Philippines",Freelance,No Experience,42000,50000,"Teaching, Communication, Subject Knowledge","Support student learning through lessons, activities, assessment, and effective communication.",FutureTech Labs,hr@futuretechlabs.example,+63 900 149 1049,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/50
51,Livestock Worker,Prime Services,Agriculture,"General Santos, Philippines",Contract,Junior,26000,34000,"Animal Care, Farming, Safety","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",Prime Services,hr@primeservices.example,+63 900 150 1050,https://www.primeservices.example,https://www.primeservices.example/apply/51
52,Software Developer,BrightStar Solutions,Information Technology,Remote,Part-time,Mid Level,33000,43000,"Python, SQL, Git","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",BrightStar Solutions,hr@brightstarsolutions.example,+63 900 151 1051,https://www.brightstarsolutions.example,https://www.brightstarsolutions.example/apply/52
53,School Assistant,Central Retail Group,Education,"Cebu City, Philippines",Contract,Junior,54000,69000,"Administration, Communication, Organization","Support student learning through lessons, activities, assessment, and effective communication.",Central Retail Group,hr@centralretailgroup.example,+63 900 152 1052,https://www.centralretailgroup.example,https://www.centralretailgroup.example/apply/53
54,Content Creator,Golden Bridge Corp.,Marketing,"Iloilo City, Philippines",Contract,No Experience,19000,29000,"Content Creation, Social Media, Writing","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 153 1053,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/54
55,Construction Worker,Sunrise Enterprises,Construction,"Baguio City, Philippines",Contract,No Experience,19000,34000,"Construction, Safety, Manual Labor",Assist with construction projects while following workplace safety standards and project instructions.,Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 154 1054,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/55
56,Chef,Metro Business Group,Hospitality,"Surigao City, Philippines",Freelance,Experienced,45000,50000,"Cooking, Food Safety, Kitchen Management",Provide friendly customer service and help maintain efficient daily hospitality operations.,Metro Business Group,hr@metrobusinessgroup.example,+63 900 155 1055,https://www.metrobusinessgroup.example,https://www.metrobusinessgroup.example/apply/56
57,Agricultural Technician,GreenField Industries,Agriculture,"Baguio City, Philippines",Part-time,Junior,14000,29000,"Agriculture, Data Collection, Equipment","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",GreenField Industries,hr@greenfieldindustries.example,+63 900 156 1056,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/57
58,Recruitment Specialist,BrightStar Solutions,Human Resources,"Iloilo City, Philippines",Part-time,Junior,40000,45000,"Recruitment, Interviewing, HRIS","Support employee-related activities including recruitment, training, records, and workplace communication.",BrightStar Solutions,hr@brightstarsolutions.example,+63 900 157 1057,https://www.brightstarsolutions.example,https://www.brightstarsolutions.example/apply/58
59,Cybersecurity Analyst,Golden Bridge Corp.,Information Technology,"Surigao City, Philippines",Contract,No Experience,31000,41000,"Linux, Networking, SIEM","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 158 1058,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/59
60,UI/UX Designer,Golden Bridge Corp.,Design & Creative,"Tagum City, Philippines",Contract,Mid Level,31000,39000,"Figma, UI Design, UX Research",Create visual materials and creative assets based on project requirements and client needs.,Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 159 1059,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/60
61,Dental Assistant,Prime Services,Healthcare,"Tagum City, Philippines",Freelance,Entry Level,52000,62000,"Dental Care, Patient Care, Sterilization","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",Prime Services,hr@primeservices.example,+63 900 160 1060,https://www.primeservices.example,https://www.primeservices.example/apply/61
62,Elementary Teacher,GreenField Industries,Education,"Iloilo City, Philippines",Full-time,Junior,30000,38000,"Teaching, Lesson Planning, Communication","Support student learning through lessons, activities, assessment, and effective communication.",GreenField Industries,hr@greenfieldindustries.example,+63 900 161 1061,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/62
63,Receptionist,GreenField Industries,Administration,"Baguio City, Philippines",Contract,Mid Level,40000,55000,"Customer Service, Communication, Scheduling","Provide administrative support, organize documents, coordinate schedules, and assist with daily office operations.",GreenField Industries,hr@greenfieldindustries.example,+63 900 162 1062,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/63
64,Brand Coordinator,Golden Bridge Corp.,Marketing,"Cagayan de Oro, Philippines",Freelance,Entry Level,17000,27000,"Branding, Marketing, Communication","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 163 1063,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/64
65,Hotel Receptionist,NorthPoint Company,Hospitality,Remote,Contract,No Experience,27000,37000,"Customer Service, Communication, Reservations",Provide friendly customer service and help maintain efficient daily hospitality operations.,NorthPoint Company,hr@northpointcompany.example,+63 900 164 1064,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/65
66,Dispatcher,Prime Services,Transportation,"Cagayan de Oro, Philippines",Part-time,No Experience,15000,23000,"Dispatching, Communication, Logistics","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",Prime Services,hr@primeservices.example,+63 900 165 1065,https://www.primeservices.example,https://www.primeservices.example/apply/66
67,Network Engineer,Citywide Solutions,Information Technology,"Baguio City, Philippines",Full-time,Mid Level,39000,47000,"Cisco, Networking, Linux","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Citywide Solutions,hr@citywidesolutions.example,+63 900 166 1066,https://www.citywidesolutions.example,https://www.citywidesolutions.example/apply/67
68,College Instructor,Evergreen Services,Education,"Tagum City, Philippines",Freelance,Mid Level,27000,35000,"Teaching, Research, Presentation","Support student learning through lessons, activities, assessment, and effective communication.",Evergreen Services,hr@evergreenservices.example,+63 900 167 1067,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/68
69,Truck Driver,Golden Bridge Corp.,Transportation,"Manila, Philippines",Full-time,Mid Level,26000,34000,"Driving, Vehicle Safety, Logistics","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 168 1068,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/69
70,Hotel Receptionist,FutureTech Labs,Hospitality,"Iloilo City, Philippines",Freelance,No Experience,48000,56000,"Customer Service, Communication, Reservations",Provide friendly customer service and help maintain efficient daily hospitality operations.,FutureTech Labs,hr@futuretechlabs.example,+63 900 169 1069,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/70
71,Registered Nurse,Community First,Healthcare,"Cebu City, Philippines",Freelance,Entry Level,42000,52000,"Patient Care, Nursing, Communication","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",Community First,hr@communityfirst.example,+63 900 170 1070,https://www.communityfirst.example,https://www.communityfirst.example/apply/71
72,Medical Assistant,FutureTech Labs,Healthcare,"General Santos, Philippines",Freelance,Experienced,41000,49000,"Patient Care, Medical Records, Communication","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",FutureTech Labs,hr@futuretechlabs.example,+63 900 171 1071,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/72
73,Accountant,Evergreen Services,Accounting & Finance,"General Santos, Philippines",Freelance,Junior,28000,38000,"Accounting, Excel, Bookkeeping","Handle financial records, prepare reports, and support accurate and organized accounting operations.",Evergreen Services,hr@evergreenservices.example,+63 900 172 1072,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/73
74,HR Manager,FutureTech Labs,Human Resources,"Iloilo City, Philippines",Freelance,Entry Level,29000,44000,"Leadership, Recruitment, Employee Relations","Support employee-related activities including recruitment, training, records, and workplace communication.",FutureTech Labs,hr@futuretechlabs.example,+63 900 173 1073,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/74
75,Content Writer,GlobalWorks Inc.,Writing & Media,"Butuan City, Philippines",Part-time,Junior,34000,44000,"Writing, Research, Editing","Research, write, edit, and prepare clear content for audiences across different media platforms.",GlobalWorks Inc.,hr@globalworksinc.example,+63 900 174 1074,https://www.globalworksinc.example,https://www.globalworksinc.example/apply/75
76,IT Support Specialist,Community First,Information Technology,"Iloilo City, Philippines",Full-time,Entry Level,21000,29000,"Windows, Networking, Troubleshooting","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Community First,hr@communityfirst.example,+63 900 175 1075,https://www.communityfirst.example,https://www.communityfirst.example/apply/76
77,Sales Manager,GreenField Industries,Sales,"Davao City, Philippines",Part-time,No Experience,39000,54000,"Leadership, Sales, CRM","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",GreenField Industries,hr@greenfieldindustries.example,+63 900 176 1076,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/77
78,Restaurant Crew,Metro Business Group,Hospitality,"Iloilo City, Philippines",Freelance,Mid Level,16000,24000,"Customer Service, Food Service, Teamwork",Provide friendly customer service and help maintain efficient daily hospitality operations.,Metro Business Group,hr@metrobusinessgroup.example,+63 900 177 1077,https://www.metrobusinessgroup.example,https://www.metrobusinessgroup.example/apply/78
79,Welder,Central Retail Group,Skilled Trades,"Tagum City, Philippines",Freelance,Experienced,13000,28000,"Welding, Metal Fabrication, Safety",Perform skilled maintenance and installation tasks while following technical specifications and safety procedures.,Central Retail Group,hr@centralretailgroup.example,+63 900 178 1078,https://www.centralretailgroup.example,https://www.centralretailgroup.example/apply/79
80,Delivery Driver,Citywide Solutions,Transportation,"Manila, Philippines",Contract,Junior,37000,52000,"Driving, Navigation, Customer Service","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",Citywide Solutions,hr@citywidesolutions.example,+63 900 179 1079,https://www.citywidesolutions.example,https://www.citywidesolutions.example/apply/80
81,Caregiver,NorthPoint Company,Healthcare,"Iloilo City, Philippines",Part-time,Mid Level,26000,36000,"Elderly Care, First Aid, Communication","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",NorthPoint Company,hr@northpointcompany.example,+63 900 180 1080,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/81
82,Logistics Coordinator,GreenField Industries,Transportation,"General Santos, Philippines",Full-time,Mid Level,34000,49000,"Logistics, Inventory, Organization","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",GreenField Industries,hr@greenfieldindustries.example,+63 900 181 1081,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/82
83,Barista,Evergreen Services,Hospitality,"Davao City, Philippines",Freelance,Entry Level,52000,57000,"Coffee Preparation, Customer Service, Cash Handling",Provide friendly customer service and help maintain efficient daily hospitality operations.,Evergreen Services,hr@evergreenservices.example,+63 900 182 1082,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/83
84,Warehouse Worker,Community First,Logistics,"Tagum City, Philippines",Full-time,No Experience,54000,69000,"Inventory, Packing, Warehouse Operations","Handle inventory, shipments, and warehouse operations while maintaining organized logistics processes.",Community First,hr@communityfirst.example,+63 900 183 1083,https://www.communityfirst.example,https://www.communityfirst.example/apply/84
85,Payroll Specialist,Sunrise Enterprises,Accounting & Finance,"General Santos, Philippines",Part-time,No Experience,29000,44000,"Payroll, Excel, Accounting","Handle financial records, prepare reports, and support accurate and organized accounting operations.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 184 1084,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/85
